series_id,name,source,path,length,anomaly_ratio,anomaly_segments,mean_anomaly_duration,max_anomaly_duration,seasonality_proxy,noise_proxy
NAB/NAB_data_CloudWatch_1,NAB_data_CloudWatch_1,NAB,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/NAB/NAB_data_CloudWatch_1.csv,4031,0.09923096005953858,2,200.0,200,0.08649207056627169,0.0040000000000000036
NEK/NEK_0,NEK_0,NEK,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/NEK/NEK_0.csv,1073,0.06803355079217148,2,36.5,53,0.8608050214087586,0.005884365902795008
Power/power__middlecrop_7520_27520,power__middlecrop_7520_27520,Power,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Power/power.csv,20000,0.1125,3,750.0,750,0.9790354743340596,14.0
SED/SED_100000_0__middlecrop_39999_59999,SED_100000_0__middlecrop_39999_59999,SED,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/SED/SED_100000_0.csv,20000,0.0256,8,64.0,64,0.9340419079949577,0.004689000000000006
SMAP/A-1_col_0,A-1_col_0,SMAP,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/SMAP/A-1_col_0.csv,8640,0.009837962962962963,1,85.0,85,0.00011843394949354655,0.0
SMD/processed_test_machine-1-1_col_0__middlecrop_4239_24239,processed_test_machine-1-1_col_0__middlecrop_4239_24239,SMD,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/SMD/processed_test_machine-1-1_col_0.csv,20000,0.13435,5,537.4,721,0.9922335461685017,0.0
SVDB/801_col_0__middlecrop_105200_125200,801_col_0__middlecrop_105200_125200,SVDB,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/SVDB/801_col_0.csv,20000,0.0852,10,170.4,299,0.867197214557883,0.05000000000000002
SWaT/processed_SWaT_A1_A2_Dec_2015_SWaT_Dataset_Attack_v0_col_1__middlecrop_214959_234959,processed_SWaT_A1_A2_Dec_2015_SWaT_Dataset_Attack_v0_col_1__middlecrop_214959_234959,SWaT,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/SWaT/processed_SWaT_A1_A2_Dec_2015_SWaT_Dataset_Attack_v0_col_1.csv,20000,0.35655,1,7131.0,7131,0.999987844696181,0.23549999999994498
SensorScope/stb-10__middlecrop_4759_24759,stb-10__middlecrop_4759_24759,SensorScope,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/SensorScope/stb-10.csv,20000,0.20265,8,506.625,872,0.9812247589286215,0.08999999999999986
Stock/stock_pointg_10000_0.05_1,stock_pointg_10000_0.05_1,Stock,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Stock/stock_pointg_10000_0.05_1.csv,10000,0.0483,456,1.0592105263157894,2,0.19887001611760038,1.0999999999999943
TAO/tao_pointg_10000_0.05_1_col_0,tao_pointg_10000_0.05_1_col_0,TAO,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/TAO/tao_pointg_10000_0.05_1_col_0.csv,10000,0.0483,456,1.0592105263157894,2,0.0260374315801863,0.02
TODS/TODS_0,TODS_0,TODS,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/TODS/TODS_0.csv,5000,0.0522,247,1.05668016194332,3,0.9753829137931698,0.06955083251612065
YAHOO/YahooA3Benchmark-TS100_data,YahooA3Benchmark-TS100_data,YAHOO,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/YAHOO/YahooA3Benchmark-TS100_data.csv,1680,0.005952380952380952,10,1.0,1,0.9552164179969677,45.82448041619102
CreditCard/processed_phpKo8OWT_col_10__middlecrop_132403_152403,processed_phpKo8OWT_col_10__middlecrop_132403_152403,CreditCard,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/CreditCard/processed_phpKo8OWT_col_10.csv,20000,0.0034,50,1.36,5,0.11591053570425468,0.922395137589744
Daphnet/processed_S01R01_col_6__middlecrop_65993_85993,processed_S01R01_col_6__middlecrop_65993_85993,Daphnet,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Daphnet/processed_S01R01_col_6.csv,20000,0.0462,4,231.0,619,0.641924745198244,19.0
Exathlon/10_3_1000000_75.test_col_1__middlecrop_13328_33328,10_3_1000000_75.test_col_1__middlecrop_13328_33328,Exathlon,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Exathlon/10_3_1000000_75.test_col_1.csv,20000,0.04855,1,971.0,971,0.9728785423573849,2.0
Genesis/processed_Genesis_AnomalyLabels_col_2,processed_Genesis_AnomalyLabels_col_2,Genesis,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Genesis/processed_Genesis_AnomalyLabels_col_2.csv,16220,0.0030826140567200987,3,16.666666666666668,26,0.9481520292435477,0.0
IOPS/KPI-0efb375b-b902-3661-ab23-9a0bb799f4e3,KPI-0efb375b-b902-3661-ab23-9a0bb799f4e3,IOPS,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/IOPS/KPI-0efb375b-b902-3661-ab23-9a0bb799f4e3.csv,8784,0.00808287795992714,6,11.833333333333334,48,0.9953563968412591,0.0042095307752177125
LTDB/14046_col_1__middlecrop_5404400_5424400,14046_col_1__middlecrop_5404400_5424400,LTDB,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/LTDB/14046_col_1.csv,20000,0.02475,4,123.75,127,0.3548649288039724,0.020000000000000018
MGAB/10__middlecrop_40000_60000,10__middlecrop_40000_60000,MGAB,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/MGAB/10.csv,20000,0.003,3,20.0,20,0.9534524543882297,0.03476645388653188
MSL/C-1_col_35,C-1_col_35,MSL,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/MSL/C-1_col_35.csv,2264,0.13780918727915195,2,156.0,201,0.000890818322660543,0.0
NAB/NAB_data_CloudWatch_10,NAB_data_CloudWatch_10,NAB,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/NAB/NAB_data_CloudWatch_10.csv,4031,0.09972711485983626,3,134.0,134,0.25009770324962177,0.0
NEK/NEK_1,NEK_1,NEK,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/NEK/NEK_1.csv,1073,0.43243243243243246,18,25.77777777777778,361,0.9842863412858812,0.0787349525172424
SED/SED_10000_0,SED_10000_0,SED,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/SED/SED_10000_0.csv,9999,0.03840384038403841,6,64.0,64,0.935979391849828,0.004643500000000002
SMAP/A-1_col_11,A-1_col_11,SMAP,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/SMAP/A-1_col_11.csv,8640,0.009837962962962963,1,85.0,85,0.4993041867113747,0.0
SMD/processed_test_machine-1-1_col_1__middlecrop_4239_24239,processed_test_machine-1-1_col_1__middlecrop_4239_24239,SMD,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/SMD/processed_test_machine-1-1_col_1.csv,20000,0.13435,5,537.4,721,0.9101799924545224,0.02118600000000001
SVDB/801_col_1__middlecrop_105200_125200,801_col_1__middlecrop_105200_125200,SVDB,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/SVDB/801_col_1.csv,20000,0.0852,10,170.4,299,0.6731205447484754,0.039999999999999994
SWaT/processed_SWaT_A1_A2_Dec_2015_SWaT_Dataset_Attack_v0_col_12__middlecrop_214959_234959,processed_SWaT_A1_A2_Dec_2015_SWaT_Dataset_Attack_v0_col_12__middlecrop_214959_234959,SWaT,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/SWaT/processed_SWaT_A1_A2_Dec_2015_SWaT_Dataset_Attack_v0_col_12.csv,20000,0.35655,1,7131.0,7131,0.9985719855506788,0.0
SensorScope/stb-11__middlecrop_4758_24758,stb-11__middlecrop_4758_24758,SensorScope,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/SensorScope/stb-11.csv,20000,0.1767,6,589.0,735,0.9928002153241894,0.05999999999999961
Stock/stock_pointg_10000_0.05_2,stock_pointg_10000_0.05_2,Stock,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Stock/stock_pointg_10000_0.05_2.csv,10000,0.0485,457,1.061269146608315,2,0.1915329905725431,1.1030000000000086
TAO/tao_pointg_10000_0.05_1_col_1,tao_pointg_10000_0.05_1_col_1,TAO,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/TAO/tao_pointg_10000_0.05_1_col_1.csv,10000,0.0483,456,1.0592105263157894,2,0.041919844790602165,0.3100000000000023
TODS/TODS_01,TODS_01,TODS,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/TODS/TODS_01.csv,5000,0.0522,247,1.05668016194332,3,0.973821666309875,0.06917799262848001
YAHOO/YahooA3Benchmark-TS10_data,YahooA3Benchmark-TS10_data,YAHOO,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/YAHOO/YahooA3Benchmark-TS10_data.csv,1680,0.005952380952380952,9,1.1111111111111112,2,0.995767149915289,71.94810391415785
CreditCard/processed_phpKo8OWT_col_11__middlecrop_132403_152403,processed_phpKo8OWT_col_11__middlecrop_132403_152403,CreditCard,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/CreditCard/processed_phpKo8OWT_col_11.csv,20000,0.0034,50,1.36,5,0.6536140872856796,0.6149112053642669
Daphnet/processed_S01R01_col_7__middlecrop_65993_85993,processed_S01R01_col_7__middlecrop_65993_85993,Daphnet,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Daphnet/processed_S01R01_col_7.csv,20000,0.0462,4,231.0,619,0.4653743912443651,20.0
Exathlon/10_3_1000000_75.test_col_2__middlecrop_13328_33328,10_3_1000000_75.test_col_2__middlecrop_13328_33328,Exathlon,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Exathlon/10_3_1000000_75.test_col_2.csv,20000,0.04855,1,971.0,971,0.9948227036628513,0.0
Genesis/processed_Genesis_AnomalyLabels_col_3,processed_Genesis_AnomalyLabels_col_3,Genesis,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Genesis/processed_Genesis_AnomalyLabels_col_3.csv,16220,0.0030826140567200987,3,16.666666666666668,26,0.03131043738962606,0.0
IOPS/KPI-1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0__middlecrop_64578_84578,KPI-1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0__middlecrop_64578_84578,IOPS,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/IOPS/KPI-1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0.csv,20000,0.0038,8,9.5,20,0.847096342512605,0.9500000000000028
MGAB/2__middlecrop_40000_60000,2__middlecrop_40000_60000,MGAB,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/MGAB/2.csv,20000,0.004,4,20.0,20,0.953448973456469,0.03488597029560769
MSL/C-1_col_45,C-1_col_45,MSL,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/MSL/C-1_col_45.csv,2264,0.13780918727915195,2,156.0,201,0.14019403535042146,0.0
NAB/NAB_data_CloudWatch_11,NAB_data_CloudWatch_11,NAB,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/NAB/NAB_data_CloudWatch_11.csv,4031,0.09972711485983626,1,402.0,402,0.394739934467396,15763.0
NEK/NEK_10,NEK_10,NEK,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/NEK/NEK_10.csv,1073,0.07735321528424977,2,41.5,65,0.8559271418409509,0.004510334706864405
SED/SED_20000_0,SED_20000_0,SED,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/SED/SED_20000_0.csv,19999,0.048002400120006,15,64.0,64,0.9351868431778316,0.004699999999999996
SMAP/A-1_col_2,A-1_col_2,SMAP,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/SMAP/A-1_col_2.csv,8640,0.009837962962962963,1,85.0,85,0.15254711729467374,0.0
SMD/processed_test_machine-1-1_col_11__middlecrop_4239_24239,processed_test_machine-1-1_col_11__middlecrop_4239_24239,SMD,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/SMD/processed_test_machine-1-1_col_11.csv,20000,0.13435,5,537.4,721,0.5461885822664128,0.013513999999999998
SVDB/802_col_0__middlecrop_105200_125200,802_col_0__middlecrop_105200_125200,SVDB,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/SVDB/802_col_0.csv,20000,0.2304,2,2304.0,4418,0.7616827287493358,0.03
SWaT/processed_SWaT_A1_A2_Dec_2015_SWaT_Dataset_Attack_v0_col_14__middlecrop_214959_234959,processed_SWaT_A1_A2_Dec_2015_SWaT_Dataset_Attack_v0_col_14__middlecrop_214959_234959,SWaT,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/SWaT/processed_SWaT_A1_A2_Dec_2015_SWaT_Dataset_Attack_v0_col_14.csv,20000,0.35655,1,7131.0,7131,0.9985719855506788,0.0
SensorScope/stb-12__middlecrop_4758_24758,stb-12__middlecrop_4758_24758,SensorScope,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/SensorScope/stb-12.csv,20000,0.20265,8,506.625,872,0.9934098045966463,0.08999999999999986
Stock/stock_pointg_10000_0.05_3,stock_pointg_10000_0.05_3,Stock,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Stock/stock_pointg_10000_0.05_3.csv,10000,0.0488,468,1.0427350427350428,2,0.19310290222418683,1.1199999999999903
TAO/tao_pointg_10000_0.05_1_col_2,tao_pointg_10000_0.05_1_col_2,TAO,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/TAO/tao_pointg_10000_0.05_1_col_2.csv,10000,0.0483,456,1.0592105263157894,2,0.7805180176987438,0.006999999999997897
